Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change
binpack.pl,distSecurity,159.86,5,3272547,0.397200286,128,"{'n49': 2, 'n110': 5, 'n18': 10, 'n117': 20, 'n78': 50}","{('n49', 'n78'): 2.5, ('n110', 'n49'): 1.0, ('n78', 'n110'): 5.0, ('n18', 'n78'): 1.0, ('n18', 'n110'): 0.5, ('n117', 'n18'): 1.5, ('n1', 'n117'): 1.6, ('n2', 'n117'): 1.6, ('n1', 'n78'): 1.6, ('n4', 'n78'): 1.6}",0.0
binpack_num.pl,distSecurity,21.7392,2,109999,0.028200171000000024,128,"{'n122': 12, 'n27': 75}","{('n122', 'n27'): 4.0, ('n27', 'n122'): 2.5, ('n1', 'n27'): 3.2, ('n2', 'n27'): 1.6, ('n4', 'n27'): 1.6}",-635.35364686833
ortools,distSecurity,159.86,5,4691,0.334,128,"{'n111': 2, 'n110': 5, 'n18': 10, 'n79': 20, 'n78': 50}","{('n111', 'n78'): 2.5, ('n110', 'n111'): 1.0, ('n78', 'n110'): 5.0, ('n18', 'n78'): 1.0, ('n18', 'n110'): 0.5, ('n79', 'n18'): 1.5, ('n1', 'n79'): 1.6, ('n2', 'n79'): 1.6, ('n1', 'n78'): 1.6, ('n4', 'n78'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,115974,5.559,128,"{'n91': 7, 'n32': 80}","{('n91', 'n32'): 2.5, ('n32', 'n91'): 5.5, ('n1', 'n32'): 3.2, ('n2', 'n32'): 1.6, ('n4', 'n32'): 1.6}",-635.5634288869462
binpack_num.pl,distSecurity,21.7392,2,241225,0.08537309800000004,256,"{'n126': 12, 'n249': 75}","{('n126', 'n249'): 4.0, ('n249', 'n126'): 2.5, ('n3', 'n249'): 1.6, ('n5', 'n249'): 1.6, ('n10', 'n249'): 1.6, ('n9', 'n249'): 1.6}",-635.35364686833
binpack.pl,distSecurity,159.86,4,6016121,0.7903633970000001,256,"{'n105': 2, 'n218': 55, 'n126': 10, 'n167': 20}","{('n105', 'n218'): 2.5, ('n218', 'n105'): 1.0, ('n126', 'n218'): 1.5, ('n167', 'n126'): 1.5, ('n3', 'n167'): 1.6, ('n5', 'n167'): 1.6, ('n10', 'n218'): 1.6, ('n9', 'n218'): 1.6}",0.0
ortools,distSecurity,159.86,4,26266,1.573,256,"{'n246': 2, 'n77': 55, 'n205': 10, 'n65': 20}","{('n246', 'n77'): 2.5, ('n77', 'n246'): 1.0, ('n205', 'n77'): 1.5, ('n65', 'n205'): 1.5, ('n3', 'n65'): 1.6, ('n5', 'n65'): 1.6, ('n10', 'n77'): 1.6, ('n9', 'n77'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,461318,20.011,256,"{'n156': 7, 'n54': 80}","{('n156', 'n54'): 2.5, ('n54', 'n156'): 5.5, ('n3', 'n54'): 1.6, ('n5', 'n54'): 1.6, ('n10', 'n54'): 1.6, ('n9', 'n54'): 1.6}",-635.5634288869462
binpack_num.pl,distSecurity,21.7392,2,808610,0.3361015620000001,512,"{'n296': 12, 'n21': 75}","{('n296', 'n21'): 4.0, ('n21', 'n296'): 2.5, ('n7', 'n21'): 1.6, ('n6', 'n21'): 1.6, ('n1', 'n21'): 1.6, ('n2', 'n21'): 1.6}",-635.35364686833
binpack.pl,distSecurity,159.86,5,13218388,1.9933459450000002,512,"{'n160': 2, 'n27': 5, 'n475': 10, 'n189': 20, 'n298': 50}","{('n160', 'n298'): 2.5, ('n27', 'n160'): 1.0, ('n298', 'n27'): 5.0, ('n475', 'n298'): 1.0, ('n475', 'n27'): 0.5, ('n189', 'n475'): 1.5, ('n7', 'n189'): 1.6, ('n6', 'n189'): 1.6, ('n1', 'n298'): 1.6, ('n2', 'n298'): 1.6}",0.0
ortools,distSecurity,159.86,4,89898,9.302,512,"{'n293': 2, 'n263': 55, 'n187': 10, 'n440': 20}","{('n293', 'n263'): 2.5, ('n263', 'n293'): 1.0, ('n187', 'n263'): 1.5, ('n440', 'n187'): 1.5, ('n7', 'n440'): 1.6, ('n6', 'n440'): 1.6, ('n1', 'n263'): 1.6, ('n2', 'n263'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,1840134,79.687,512,"{'n48': 7, 'n310': 80}","{('n48', 'n310'): 2.5, ('n310', 'n48'): 5.5, ('n7', 'n310'): 1.6, ('n6', 'n310'): 1.6, ('n1', 'n310'): 1.6, ('n2', 'n310'): 1.6}",-635.5634288869462
binpack_num.pl,arFarming,46.68682,2,56486,0.010331049,16,"{'n12': 26, 'n14': 68}","{('n14', 'n4'): 18.0, ('n12', 'n14'): 44.1, ('n14', 'n12'): 20.0, ('n12', 'n3'): 0.5, ('n12', 'n2'): 0.5, ('n3', 'n12'): 14.0, ('n2', 'n12'): 10.0, ('n0', 'n12'): 4.0, ('n5', 'n12'): 7.2, ('n6', 'n12'): 4.0}",-410.06900876949857
binpack.pl,arFarming,238.13498000000004,3,55430,0.010229583000000004,16,"{'n12': 26, 'n8': 18, 'n0': 50}","{('n8', 'n4'): 18.0, ('n12', 'n8'): 26.5, ('n8', 'n12'): 20.0, ('n12', 'n3'): 0.5, ('n12', 'n2'): 0.5, ('n12', 'n0'): 17.6, ('n3', 'n12'): 14.0, ('n2', 'n12'): 10.0, ('n0', 'n12'): 4.0, ('n5', 'n12'): 7.2, ('n6', 'n12'): 4.0}",-8.398598118388508e-06
ortools,arFarming,238.135,3,472,0.021,16,"{'n12': 26, 'n8': 18, 'n0': 50}","{('n8', 'n4'): 18.0, ('n12', 'n8'): 26.5, ('n8', 'n12'): 20.0, ('n12', 'n3'): 0.5, ('n12', 'n2'): 0.5, ('n12', 'n0'): 17.6, ('n3', 'n12'): 14.0, ('n2', 'n12'): 10.0, ('n0', 'n12'): 4.0, ('n5', 'n12'): 7.2, ('n6', 'n12'): 4.0}",0.0
ortools_num,arFarming,227.351,2,3402,0.75,16,"{'n15': 90, 'n3': 4}","{('n3', 'n4'): 18.0, ('n15', 'n3'): 12.5, ('n15', 'n2'): 0.5, ('n3', 'n15'): 14.0, ('n2', 'n15'): 10.0, ('n0', 'n15'): 4.0, ('n5', 'n15'): 7.2, ('n6', 'n15'): 4.0}",-4.743326398388391
binpack_num.pl,distSecurity,21.7392,2,46173,0.009271412,16,"{'n6': 12, 'n2': 75}","{('n6', 'n2'): 5.6, ('n2', 'n6'): 2.5, ('n8', 'n2'): 1.6}"
ortools_num,distSecurity,21.733,2,1958,1.448,16,"{'n4': 7, 'n8': 80}","{('n4', 'n8'): 2.5, ('n8', 'n4'): 5.5, ('n2', 'n8'): 3.2, ('n6', 'n8'): 1.6}"
binpack_num.pl,distSecurity,21.7392,2,49885,0.01027904,32,"{'n20': 12, 'n16': 75}","{('n20', 'n16'): 4.0, ('n16', 'n20'): 2.5, ('n10', 'n16'): 1.6, ('n6', 'n16'): 3.2, ('n9', 'n16'): 1.6}",-635.35364686833
binpack.pl,distSecurity,229.37,3,48965,0.010505056000000002,32,"{'n31': 2, 'n14': 75, 'n23': 10}","{('n31', 'n14'): 2.5, ('n14', 'n31'): 1.0, ('n23', 'n14'): 1.5, ('n14', 'n23'): 1.5, ('n10', 'n14'): 1.6, ('n6', 'n14'): 3.2, ('n9', 'n14'): 1.6}",30.304747787417707
ortools,distSecurity,159.86,4,639,0.027,32,"{'n30': 2, 'n14': 55, 'n6': 10, 'n11': 20}","{('n30', 'n14'): 2.5, ('n14', 'n30'): 1.0, ('n6', 'n14'): 3.1, ('n11', 'n6'): 1.5, ('n10', 'n11'): 1.6, ('n6', 'n11'): 1.6, ('n9', 'n14'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,7494,1.677,32,"{'n19': 7, 'n16': 80}","{('n19', 'n16'): 2.5, ('n16', 'n19'): 5.5, ('n10', 'n16'): 1.6, ('n6', 'n16'): 3.2, ('n9', 'n16'): 1.6}",-635.5634288869462
binpack_num.pl,distSecurity,21.7392,2,63939,0.013644360000000008,64,"{'n11': 12, 'n52': 75}","{('n11', 'n52'): 4.0, ('n52', 'n11'): 2.5, ('n6', 'n52'): 1.6, ('n4', 'n52'): 1.6, ('n3', 'n52'): 1.6, ('n5', 'n52'): 1.6}"
ortools_num,distSecurity,21.733,2,29318,1.704,64,"{'n60': 7, 'n14': 80}","{('n60', 'n14'): 2.5, ('n14', 'n60'): 5.5, ('n6', 'n14'): 1.6, ('n4', 'n14'): 1.6, ('n3', 'n14'): 1.6, ('n5', 'n14'): 1.6}"
ortools_num,distSecurity,0.375,21.733,2,1958,16,"{'n1': 7, 'n4': 80}","{('n1', 'n4'): 2.5, ('n4', 'n1'): 5.5, ('n2', 'n4'): 1.6, ('n7', 'n4'): 1.6, ('n6', 'n4'): 1.6}"
binpack_num.pl,distSecurity,0.009560217999999999,21.7392,2,46496,16,"{'n9': 12, 'n6': 75}","{('n9', 'n6'): 4.0, ('n6', 'n9'): 2.5, ('n4', 'n6'): 1.6, ('n2', 'n6'): 1.6, ('n7', 'n6'): 1.6}"
binpack_num.pl,distSecurity,21.7392,2,49809,0.010020158999999997,32,"{'n14': 12, 'n8': 75}","{('n14', 'n8'): 4.0, ('n8', 'n14'): 2.5, ('n5', 'n8'): 1.6, ('n1', 'n8'): 1.6, ('n6', 'n8'): 1.6, ('n7', 'n8'): 1.6}",-635.35364686833
binpack.pl,distSecurity,159.86,5,1011614,0.11784268600000002,32,"{'n1': 2, 'n20': 5, 'n14': 10, 'n6': 20, 'n23': 50}","{('n1', 'n23'): 2.5, ('n20', 'n1'): 1.0, ('n23', 'n20'): 5.0, ('n14', 'n23'): 1.0, ('n14', 'n20'): 0.5, ('n6', 'n14'): 1.5, ('n5', 'n6'): 1.6, ('n1', 'n6'): 1.6, ('n6', 'n23'): 1.6, ('n7', 'n23'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,7494,0.687,32,"{'n1': 7, 'n2': 80}","{('n1', 'n2'): 4.1, ('n2', 'n1'): 5.5, ('n5', 'n2'): 1.6, ('n6', 'n2'): 1.6, ('n7', 'n2'): 1.6}",-635.5634288869462
ortools,distSecurity,159.86,5,544,0.025,32,"{'n1': 2, 'n20': 5, 'n14': 10, 'n6': 20, 'n23': 50}","{('n1', 'n23'): 2.5, ('n20', 'n1'): 1.0, ('n23', 'n20'): 5.0, ('n14', 'n23'): 1.0, ('n14', 'n20'): 0.5, ('n6', 'n14'): 1.5, ('n5', 'n6'): 1.6, ('n1', 'n6'): 1.6, ('n6', 'n23'): 1.6, ('n7', 'n23'): 1.6}",0.0
binpack_num.pl,distSecurity,21.7392,2,62305,0.013693042000000002,64,"{'n38': 12, 'n2': 75}","{('n38', 'n2'): 4.0, ('n2', 'n38'): 2.5, ('n7', 'n2'): 1.6, ('n8', 'n2'): 1.6, ('n3', 'n2'): 3.2}",-635.35364686833
