MaxBins,App,Time,Cost,NDistinct,Infs,Size,Placement
3,speakToMe,0.024,124.5768,3,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n4', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n4', 'metaAudio': 'n13'},)"
4,speakToMe,0.024,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
5,speakToMe,0.024,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
6,speakToMe,0.025,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
7,speakToMe,0.024,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
8,speakToMe,0.024,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
9,speakToMe,0.025,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
10,speakToMe,0.024,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
11,speakToMe,0.024,124.5768,4,642,16,"({'textBucket': 'n14', 'audioBucket': 'n14', 'mainDB': 'n14', 'postQueue': 'n14', 'converter': 'n13', 'uploadPost': 'n0', 'metaPost': 'n13', 'publishPost': 'n4', 'convertTxt': 'n13', 'uploadAudio': 'n0', 'metaAudio': 'n13'},)"
2,speakToMe,0.057,249.5867,2,1708,32,"({'textBucket': 'n7', 'audioBucket': 'n7', 'mainDB': 'n7', 'postQueue': 'n7', 'converter': 'n2', 'uploadPost': 'n7', 'metaPost': 'n2', 'publishPost': 'n7', 'convertTxt': 'n2', 'uploadAudio': 'n7', 'metaAudio': 'n2'},)"
